id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3379,Leuer,Jon,PHO,PF,DEN,22.00,8.80,0.82,6.11,1.31,0.72,0.38,0.99,2.69,0.97,0.38,3.51,3.61,0.04,0.00,4400,21,5500,7100,0,78800,0,9000,4300,PF,PF,PF,PF;C,,,,F,F
1807,Korver,Kyle,ATL,SG,DET,33.00,9.87,1.81,4.45,2.29,0.63,0.48,1.59,1.84,0.76,0.11,3.65,4.52,0.01,0.00,4600,16,4200,9200,0,73500,0,8800,4250,SG,SG,SG,SG;SF,,,,G,G
3032,Beverley,Patrick,HOU,PG,@ ORL,30.00,8.58,1.75,3.45,3.49,1.02,0.55,1.88,1.31,0.69,0.16,3.07,5.01,0.01,0.00,4200,14,4900,8400,0,68500,0,7900,4100,PG,PG,PG,PG;SG,,,,G,G
3684,Larkin,Shane,BKN,PG,DAL,24.00,8.13,0.71,2.53,3.86,1.56,0.17,1.26,2.52,0.97,0.31,3.23,3.67,0.01,0.00,4600,12,4200,6800,0,62900,0,7400,3500,PG,PG,PG,PG,,,,G,G
2844,Lee,Courtney,MEM,SG,@ WAS,32.00,11.67,1.25,2.99,1.76,1.06,0.15,1.20,3.38,1.18,0.15,4.62,5.10,0.01,0.00,3900,13,4500,7650,0,67400,0,7300,3900,SG,SG,SG,SG;SF,,,,G,G
3356,Burks,Alec,UTA,SG,@ GSW,25.00,12.35,0.79,2.95,2.21,0.54,0.11,1.55,3.23,3.53,0.94,4.02,5.94,0.01,0.00,4900,21,4700,8800,0,78200,0,8600,4200,SG,SG,SG,PG;SG,,,,G,G
3076,Temple,Garrett,WAS,PG,MEM,30.00,8.89,1.39,3.35,2.26,1.55,0.37,1.19,1.47,1.77,0.78,2.87,4.64,0.01,0.00,4300,10,4500,6050,0,54300,0,6700,3850,PG,SG,SG,PG;SG,,,,G,G
3159,Davis,Ed,POR,PF,@ NOR,20.00,6.85,0.00,6.83,1.10,0.57,0.87,0.68,2.84,1.18,1.27,2.84,1.79,0.01,0.00,4400,16,4300,8150,0,60800,0,8700,3800,PF,PF,PF,PF;C,,,,F,F
3540,Leonard,Meyers,POR,C,@ NOR,24.00,9.80,1.19,5.56,1.40,0.24,0.33,0.92,2.69,0.84,0.11,3.89,4.68,0.03,0.00,3800,10,3700,7300,0,58000,0,6500,3800,C,C,C,PF;C,,C,,C,C
5026,Kaminsky,Frank,CHA,PF,BOS,24.00,8.80,1.07,4.27,1.88,0.50,0.69,0.76,2.25,1.09,0.33,3.32,4.11,0.01,0.00,4000,11,4000,6650,0,57800,0,6700,3600,PF,PF,C,PF;C,,C,,C,F
3677,Olynyk,Kelly,BOS,C,@ CHA,20.00,8.88,0.86,4.01,1.72,1.05,0.53,1.39,2.68,0.93,0.34,3.54,4.69,0.01,0.00,4100,12,4600,6800,0,63300,0,8200,3950,C,C,C,C,,C,,C,C
