playernm_full,playernm_first,playernm_last,pos,team,numberfire_id,cbssports_id,espn_id,fantasypros_id,foxsports_id,rotogrinders_id,rotowire_id,rotoguru_id
"Pierre Garcon (WR, WSH)",Pierre,Garcon,WR, WSH,576,583087,11439,9510,5071,12193,5703,3754
"Jerricho Cotchery (WR, CAR)",Jerricho,Cotchery,WR, CAR,552,492915,5633,9298,4868,12235,3850,3497
"James Jones (WR, GB)",James,Jones,WR, GB,587,431446,10522,9264,4843,12232,5391,3679
"Dwayne Allen (TE, IND)",Dwayne,Allen,TE, IND,4477,1630216,14901,11219,5171,13580,8041,4551
"Zach Ertz (TE, PHI)",Zach,Ertz,TE, PHI,52077,1685963,15835,11689,5263,16583,8781,4569
"Jordan Cameron (TE, MIA)",Jordan,Cameron,TE, MIA,4340,1244459,14189,9946,5058,11840,7426,4533
"Darren Sproles (RB, PHI)",Darren,Sproles,RB, PHI,251,421419,8544,9155,4807,11703,4320,2484
"Shane Vereen (RB, NYG)",Shane,Vereen,RB, NYG,4325,1273006,14017,9897,5089,11733,7250,2830
"Marvin Jones (WR, CIN)",Marvin,Jones,WR, CIN,4507,1631804,15072,11215,5157,13592,8223,5168
"James Starks (RB, GB)",James,Starks,RB, GB,3036,1123431,13214,9711,4913,11701,6487,2777
"Kenny Britt (WR, STL)",Kenny,Britt,WR, STL,566,1115016,12556,9353,5011,12709,5963,3824
"Justin Hunter (WR, TEN)",Justin,Hunter,WR, TEN,52076,1737463,15845,11626,5370,16565,8618,5207
"Greg Jennings (WR, MIA)",Greg,Jennings,WR, MIA,547,413737,9638,9235,4797,12154,4871,3587
"Devonta Freeman (RB, ATL)",Devonta,Freeman,RB, ATL,52434,1824135,16944,12108,5474,18261,9326,2930
"James White (RB, NE)",James,White,RB, NE,52447,1759592,16913,12195,5423,18458,9524,2954
"Heath Miller (TE, PIT)",Heath,Miller,TE, PIT,891,416861,8444,9242,4795,11801,4430,4311
"Darren McFadden (RB, DAL)",Darren,McFadden,RB, DAL,249,565805,11238,9154,4914,11672,5579,2603
